rho,Mij,alpha,gamma,Stochastic Resonance 
0.01209568,0.0891463,0.8733609,3.559479,no
0.6744714,0.09685694,0.3226844,4.487004,no
0.2173385,0.1515716,0.1447218,0.9337569,no
0.3525584,0.01796757,0.8930851,2.268047,no
0.9955397,0.01817269,0.988772,4.114236,no
0.3112862,0.1007275,0.4168043,0.004990458,no
0.9858727,0.0422829,0.06518159,3.124548,no
0.1952917,0.1181411,0.05301865,3.683293,yes
0.05634626,0.1130279,0.6648617,4.007223,no
0.2074661,0.1885749,0.5534752,2.829144,no
0.4461576,0.04386621,0.3576776,0.7178478,no
0.4587385,0.1676212,0.6627214,3.311578,no
0.7940684,0.04915547,0.1923057,4.132488,no
0.1532905,0.04815974,0.07233523,2.450501,yes
0.738375,0.193665,0.7271143,1.682438,no
0.2517202,0.1356105,0.7959985,4.37956,no
0.202498,0.05305268,0.5301927,4.762245,yes
0.1841923,0.0849419,0.5905923,0.5944245,yes
0.8319743,0.1883639,0.6336238,4.731416,no
0.9964878,0.174788,0.995814,1.471589,no
0.7390445,0.109073,0.3311433,1.04423,no
0.8114598,0.07086288,0.6212612,4.850951,no
0.9012771,0.06685297,0.1373885,3.240116,no
0.1860867,0.0201821,0.4155229,1.545902,yes
0.3119386,0.1013656,0.6887834,3.291249,no
0.2496353,0.1926361,0.6213874,0.4278287,no
0.2833086,0.129646,0.2033469,3.13868,no
0.2448808,0.1188555,0.8384679,1.412112,no
0.9299511,0.009401795,0.1409826,2.975772,no
0.3558276,0.1511928,0.1357305,0.2370926,no
0.2013796,0.142228,0.9316921,2.219465,yes
0.3200041,0.1150167,0.8284225,1.010476,no
0.9429815,0.04429994,0.9125934,2.361804,no
0.4463311,0.1218778,0.7377241,2.191681,no
0.5959414,0.03960546,0.05103489,0.4092406,no
0.2361162,0.1360962,0.3473655,3.657198,no
0.68358,0.1667172,0.4293201,0.2133897,no
0.9127051,0.1627335,0.701266,4.893701,no
0.6725032,0.1038087,0.5912479,3.514278,no
0.523972,0.001241459,0.03180795,0.7702872,no
0.5364967,0.01412186,0.9978822,0.7633408,yes
0.152922,0.02519268,0.6714269,4.608367,yes
0.3838331,0.02764474,0.04256891,1.128484,no
0.9575289,0.08674253,0.8714955,2.086524,no
0.4944102,0.03070494,0.08823291,0.8857739,no
0.8073157,0.1044436,0.2419905,3.271173,no
0.07767465,0.02017353,0.3607757,1.924587,yes
0.101336,0.1620145,0.1792388,0.8130169,no
0.758549,0.1611137,0.2249828,2.932445,no
0.7493769,0.1697591,0.4598647,1.589092,no
0.8545111,0.09080952,0.6436303,3.812033,no
0.8786989,0.1768849,0.04896801,3.400916,no
0.7115761,0.1641819,0.7660123,4.714599,no
0.2869442,0.08196682,0.4428093,1.318116,yes
0.2324656,0.1703496,0.9591914,0.7030504,no
0.2423563,0.1622889,0.2995881,4.363537,no
0.9412781,0.1520712,0.7319526,0.6179515,no
0.7714856,0.103756,0.9251485,2.772519,no
0.001569414,0.1332008,0.3294915,0.7065087,no
0.03074757,0.1330033,0.9302912,1.525039,no
0.9641382,0.1109806,0.964423,2.683152,no
0.997349,0.09409128,0.8872825,1.009122,no
0.1745999,0.1404206,0.616195,4.807265,no
0.8783723,0.01482758,0.2723934,1.554949,no
0.3105192,0.1659203,0.5692957,3.236973,no
0.6552734,0.00946115,0.2263518,1.319724,no
0.3312242,0.0777873,0.02307203,2.181919,no
0.1378237,0.008861641,0.6739552,1.78601,no
0.07280896,0.0141899,0.6346846,1.055569,yes
0.1881517,0.05335397,0.4934399,1.812573,yes
0.906546,0.1845158,0.09193457,0.3022265,no
0.601865,0.1918921,0.5936963,4.909452,no
0.2980983,0.1847595,0.9306493,3.142189,no
0.5127455,0.1344368,0.8227225,2.246623,no
