"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"105",13,13,20,46,52,27,83,90,71,12,8,36,18,28,37,2,5,6,5,4,6,2,3,6,2,5,4,2,3,4,5,4,2,4,2,4,4,5,2,4,2,2,2,3,3,2,4,8,8,0.6226558468084
"106",13,13,25,51,60,43,117,112,103,8,9,26,22,14,38,9,4,14,4,2,4,4,4,4,2,2,2,2,2,3,2,2,3,6,5,4,4,3,2,4,2,2,2,2,2,2,3,1,4,0.449020291806351
"107",15,22,31,68,62,31,96,96,72,9,6,29,20,11,37,9,2,1,7,5,6,2,2,6,2,2,2,3,3,4,3,4,3,6,6,5,5,2,2,5,2,2,2,2,2,3,6,3,5,0.814485298368722
"108",16,19,45,80,52,28,90,95,78,13,8,21,28,21,39,3,2,3,4,6,5,5,4,4,4,2,2,4,2,2,2,4,2,5,2,2,4,2,2,5,3,5,2,4,2,3,2,1,5,0.397094590777141
"109",21,18,39,78,51,35,103,103,97,12,8,30,17,15,38,3,5,1,5,6,5,4,5,4,3,3,2,5,2,2,2,4,2,4,2,4,2,3,2,4,4,4,4,4,2,3,3,2,5,0.271002774788434
"110",19,15,40,74,45,18,67,80,72,14,7,38,26,37,39,3,3,11,4,2,2,3,2,6,3,4,3,5,3,6,4,4,2,5,2,4,5,2,2,4,2,3,3,2,2,2,5,6,8,0.337392761793333
"111",14,15,34,63,64,25,80,88,85,15,8,38,30,31,39,6,4,4,5,5,4,2,2,3,4,5,5,4,4,5,4,4,2,2,2,2,2,2,4,5,3,4,4,4,2,5,2,8,11,0.628993580674983
"112",21,20,47,88,45,32,92,96,110,5,6,18,13,7,22,8,5,1,3,3,2,4,4,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,0.580093087218448
"113",15,20,45,80,45,27,83,90,84,8,8,24,19,31,36,2,4,8,2,2,2,2,2,5,4,4,3,2,2,3,3,2,2,6,4,2,5,3,2,2,2,4,2,2,3,2,5,4,5,0.996674794506198
"114",16,13,38,67,55,39,104,104,101,10,7,26,18,17,35,10,5,4,4,3,4,3,3,4,4,2,3,2,2,2,2,3,2,4,2,2,4,2,2,4,2,2,2,3,4,2,2,1,5,1.68993762146353
